token,name,unique
"z01a2j","AddToCart","false"
"jzzsqp","CompleteRegistration","false"
"h9nvb7","Login","false"
"c7b8q3","OldRegPurchase","false"
"3e00vd","OpenBLanding","false"
"hyiirp","Purchase","false"
"ro6a3s","TPFirstDeposit","false"
