token,name,unique
"i0l55m","AddToCart","false"
"c9673k","CompleteRegistration","false"
"7wz94b","Login","false"
"vy36e9","OldRegPurchase","false"
"tmzqo0","OpenBLanding","false"
"hpvqzo","Purchase","false"
"nppxxb","TPFirstDeposit","false"
